Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
1,50000,4.5347186e-20,0,0,-1.0654372,-7.3858299e-09,-1.0654373,0,0,0
100,50000,4.1196534e-08,0,1.0345765e-05,-0.99370145,-0.00044573176,-0.99413683,0,0,493500
200,50000,5.4824804e-08,0,7.0256745e-05,-0.93929538,0.0067179,-0.93250723,0,0,493500
300,50000,6.7766594e-08,0,0.0002445466,-0.89345812,0.027720476,-0.8654931,0,0,493500
400,50000,9.0658982e-08,0,0.00057878175,-0.83304821,0.056559215,-0.77591021,0,0,493500
500,50000,9.9420293e-08,0,0.0010175659,-0.78110536,0.07541059,-0.7046772,0,0,493500
600,50000,1.1246119e-07,0,0.0015592827,-0.7126595,0.085257366,-0.62584285,0,0,493500
700,50000,1.3019465e-07,0,0.0022158032,-0.63405769,0.098666598,-0.53317529,0,0,493500
800,50000,1.4612458e-07,0,0.0028815001,-0.57339673,0.11542661,-0.45508862,0,0,493500
900,50000,1.6013734e-07,0,0.0036383627,-0.53080971,0.13334902,-0.39382234,0,0,493500
1000,50000,1.8298749e-07,0,0.004462448,-0.47931363,0.13783047,-0.33702071,0,0,493500
1100,50000,1.9873603e-07,0,0.0052515745,-0.45268166,0.13738938,-0.31004071,0,0,493500
1200,50000,2.1129819e-07,0,0.0060523157,-0.41604887,0.13691059,-0.27308597,0,0,493500
1300,50000,2.2607384e-07,0,0.0067992153,-0.37781755,0.13784367,-0.23317466,0,0,493500
1400,50000,2.3821559e-07,0,0.0076002931,-0.35356583,0.13606802,-0.20989751,0,0,493500
1500,50000,2.473413e-07,0,0.0084402715,-0.32798983,0.1301347,-0.18941486,0,0,493500
1600,50000,2.5665269e-07,0,0.0094091468,-0.30083442,0.12554196,-0.16588331,0,0,493500
1700,50000,2.6581042e-07,0,0.010394899,-0.27810251,0.1220875,-0.14562011,0,0,493500
1800,50000,2.7070217e-07,0,0.011303525,-0.2625624,0.12306017,-0.12819871,0,0,493500
1900,50000,2.7583823e-07,0,0.012284099,-0.23247657,0.12101813,-0.099174337,0,0,493500
2000,50000,2.792633e-07,0,0.01322035,-0.21265157,0.11727631,-0.082154904,0,0,493500
2100,50000,2.794631e-07,0,0.014273501,-0.19578161,0.11584304,-0.065665068,0,0,493500
2200,50000,2.8237752e-07,0,0.015417702,-0.1752179,0.11545743,-0.044342767,0,0,493500
2300,50000,2.8204279e-07,0,0.018042009,-0.16408747,0.1141866,-0.031858861,0,0,493500
2400,50000,2.8116233e-07,0,0.021509604,-0.15338807,0.10995217,-0.021926293,0,0,493500
2500,50000,2.8074732e-07,0,0.025626146,-0.13008531,0.10659001,0.0021308445,0,0,493500
2600,50000,2.8010282e-07,0,0.029761954,-0.11698408,0.10307138,0.01584925,0,0,493500
2700,50000,2.7749493e-07,0,0.033771256,-0.1061508,0.099253513,0.026873965,0,0,493500
2800,50000,2.7535208e-07,0,0.037510869,-0.092865572,0.093596277,0.038241573,0,0,493500
2900,50000,2.7406026e-07,0,0.040275229,-0.08620702,0.088423432,0.042491641,0,0,493500
3000,50000,2.7113773e-07,0,0.042201449,-0.077133675,0.086852468,0.051920243,0,0,493500
3100,50000,2.6990067e-07,0,0.043128635,-0.066551697,0.08536036,0.061937297,0,0,493500
3200,50000,2.6855369e-07,0,0.043247115,-0.062254512,0.08394279,0.064935393,0,0,493500
3300,50000,2.6647064e-07,0,0.042597581,-0.055910318,0.079953985,0.066641248,0,0,493500
3400,50000,2.6521473e-07,0,0.041457364,-0.052304794,0.074595597,0.063748167,0,0,493500
3500,50000,2.6324276e-07,0,0.040008665,-0.049747303,0.068217343,0.058478705,0,0,493500
3600,50000,2.6041583e-07,0,0.038397829,-0.047649454,0.064060135,0.054808511,0,0,493500
